"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","female_mean_rpkm","male_mean_rpkm","female_xi_mean_srpm","female_xa_mean_srpm","male_xa_mean_srpm","male_xi_mean_srpm","female_mean_srpm_xi_over_xa_ratio","female_mean_rpkm_gt_1","male_mean_rpkm_gt_1","female_xi_mean_srpm_gte_2"
"Fmr1","ENSMUSG00000000838","MGP_CASTEiJ_G0034736","X","X",7.79619358854907,6.98962333953525,128.552861027237,494.359409108689,434.39799891295,125.426763982639,0.260039272356548,1,1,1
"Foxo4","ENSMUSG00000042903","MGP_CASTEiJ_G0034917","X","X",18.2332115745864,20.7599888909687,60.1543157768741,575.933392369453,638.139796494136,86.0774183010882,0.104446654029544,1,1,1
"Ftsj1","ENSMUSG00000031171","MGP_CASTEiJ_G0034528","X","X",12.3604765689612,9.88910459630177,85.9313685049064,504.116147492531,399.02740284399,73.0307511588822,0.170459464415747,1,1,1
"Ftx","ENSMUSG00000086370","MGP_CASTEiJ_G0007378","X","X",2.11516595276069,1.70133810279309,59.9966375154118,116.223863302758,107.144754234367,29.9405787564325,0.516216169472213,1,1,1
"Fundc2","ENSMUSG00000031198","MGP_CASTEiJ_G0034822","X","X",2.71790042498599,3.17019564301158,53.2514504147424,22.6032403451471,30.7575717127948,57.7516822692332,2.35592108041162,1,1,1
"G6pdx","ENSMUSG00000031400","MGP_CASTEiJ_G0034810","X","X",21.3555901898287,20.2689897817695,95.9510462937024,561.618728588231,562.471297338123,61.6309080776502,0.170847305136884,1,1,1
"Gabre","ENSMUSG00000031340","MGP_CASTEiJ_G0034757","X","X",1.84520914272298,5.31088961386116,40.8175066557798,46.2175912615769,230.053222522106,19.7083998008273,0.883159540374262,1,1,1
"Gdi1","ENSMUSG00000015291","MGP_CASTEiJ_G0034802","X","X",30.8247288625558,22.8770106620639,362.44659996443,896.634992235503,600.388985708276,338.783623334963,0.404229818268383,1,1,1
"Gdpd2","ENSMUSG00000019359","MGP_CASTEiJ_G0034912","X","X",6.33322850967732,4.3569896745594,38.0685296525048,253.829972358523,161.499781002599,39.3138730978436,0.149976495284547,1,1,1
"Gemin8","ENSMUSG00000040621","MGP_CASTEiJ_G0035220","X","X",8.1919176399485,9.28626641643214,72.8409056865165,128.102668825996,147.731353469151,80.0012633289358,0.568613490679553,1,1,1
"Gjb1","ENSMUSG00000047797","MGP_CASTEiJ_G0034923","X","X",5.63138125389639,2.5288022515746,8.80556908495731,87.3221089190541,41.6902107973189,1.47644363705944,0.100840087280988,1,1,1
"Gk","ENSMUSG00000025059","MGP_CASTEiJ_G0034854","X","X",15.8040153365315,25.4993077067621,143.343370340641,1074.50138159925,1851.65934342418,112.653403768158,0.133404547258276,1,1,1
"Gla","ENSMUSG00000031266","MGP_CASTEiJ_G0035037","X","X",3.89289406686496,6.83271886394936,125.385848118963,1.72187648377325,51.5898838543565,171.640204083123,72.8193045788031,1,1,1
"Gm15230","ENSMUSG00000084920","MGP_CASTEiJ_G0007398","X","X",4.11201294072838,1.59743374623815,2.19243578958492,18.815651443832,4.99795255314069,3.15874028174068,0.116521917730551,1,1,1
