"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","num_reads_mouse_1_female_mat_bl6","num_reads_mouse_2_female_mat_bl6","num_reads_mouse_4_female_mat_bl6","num_reads_mouse_7_male_mat_bl6","num_reads_mouse_8_male_mat_bl6","num_reads_mouse_1_female_pat_cast","num_reads_mouse_2_female_pat_cast","num_reads_mouse_4_female_pat_cast","num_reads_mouse_7_male_pat_cast","num_reads_mouse_8_male_pat_cast"
"Ccdc120","ENSMUSG00000031150","X","MGP_CASTEiJ_G0034505","X",370,467,260,299,288,47,47,37,32,34
"Ccdc160","ENSMUSG00000073207","X","MGP_CASTEiJ_G0034681","X",0,2,0,0,0,0,0,0,0,0
"Ccdc22","ENSMUSG00000031143","X","MGP_CASTEiJ_G0034495","X",0,0,0,0,0,0,0,0,0,0
"Ccnb3","ENSMUSG00000051592","X","MGP_CASTEiJ_G0034489","X",0,0,0,0,0,0,0,0,0,0
"Cd40lg","ENSMUSG00000031132","X","MGP_CASTEiJ_G0034711","X",0,0,0,0,1,0,0,0,0,0
"Cd99l2","ENSMUSG00000035776","X","MGP_CASTEiJ_G0034748","X",292,300,236,304,314,17,24,15,9,7
"Cdk16","ENSMUSG00000031065","X","MGP_CASTEiJ_G0034574","X",200,279,176,247,248,39,36,29,21,23
"Cdkl5","ENSMUSG00000031292","X","MGP_CASTEiJ_G0035192","X",146,243,111,82,104,16,34,30,11,13
"Cdr1","ENSMUSG00000090546","X","MGP_CASTEiJ_G0034724","X",0,0,0,0,0,0,0,0,0,0
"Cdx4","ENSMUSG00000031326","X","MGP_CASTEiJ_G0034945","X",0,0,0,0,0,0,0,0,0,0
"Cenpi","ENSMUSG00000031262","X","MGP_CASTEiJ_G0035030","X",2,0,0,0,0,0,0,0,0,0
"Cetn2","ENSMUSG00000031347","X","MGP_CASTEiJ_G0034761","X",17,21,19,24,18,4,6,3,2,8
"Cfp","ENSMUSG00000001128","X","MGP_CASTEiJ_G0034579","X",17,31,12,21,20,0,5,5,6,5
"Chic1","ENSMUSG00000031327","X","MGP_CASTEiJ_G0034946","X",19,3,4,7,5,0,0,2,0,1
"Chm","ENSMUSG00000025531","X","MGP_CASTEiJ_G0035000","X",57,64,52,54,58,7,9,6,2,4
"Chrdl1","ENSMUSG00000031283","X","MGP_CASTEiJ_G0035121","X",1,0,0,1,1,0,0,0,0,0
"Chst7","ENSMUSG00000037347","X","MGP_CASTEiJ_G0034566","X",4,5,2,1,0,0,0,1,0,0
"Cited1","ENSMUSG00000051159","X","MGP_CASTEiJ_G0034936","X",0,2,1,2,5,0,0,0,1,2
"Clcn5","ENSMUSG00000004317","X","MGP_CASTEiJ_G0034491","X",181,215,104,237,217,38,46,52,28,51
"Cldn2","ENSMUSG00000047230","X","MGP_CASTEiJ_G0035096","X",5,3,1,4,14,0,0,1,1,0
