"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","num_reads_mouse_1_female_mat_bl6","num_reads_mouse_2_female_mat_bl6","num_reads_mouse_4_female_mat_bl6","num_reads_mouse_7_male_mat_bl6","num_reads_mouse_8_male_mat_bl6","num_reads_mouse_1_female_pat_cast","num_reads_mouse_2_female_pat_cast","num_reads_mouse_4_female_pat_cast","num_reads_mouse_7_male_pat_cast","num_reads_mouse_8_male_pat_cast"
"Mir3113","ENSMUSG00000093219","X","MGP_CASTEiJ_G0009091","X",0,0,0,0,0,0,0,0,0,0
"Mir32","ENSMUSG00000065544","4","MGP_CASTEiJ_G0008485","4",0,0,0,0,0,0,0,0,0,0
"Mir320","ENSMUSG00000065528","14","MGP_CASTEiJ_G0007929","14",0,0,0,1,0,0,0,0,0,1
"Mir322","ENSMUSG00000065418","X","MGP_CASTEiJ_G0009019","X",0,0,0,0,0,0,0,0,0,0
"Mir323","ENSMUSG00000065617","12","MGP_CASTEiJ_G0007793","12",0,0,0,0,0,0,0,0,0,0
"Mir324","ENSMUSG00000065534","11","MGP_CASTEiJ_G0007641","11",0,0,0,0,0,0,0,0,0,0
"Mir325","ENSMUSG00000065425","X","MGP_CASTEiJ_G0009069","X",0,0,0,0,0,0,0,0,0,0
"Mir326","ENSMUSG00000065571","7","MGP_CASTEiJ_G0008788","7",0,0,0,0,0,0,0,0,0,0
"Mir327","ENSMUSG00000105372","14","MGP_CASTEiJ_G0007907","14",0,0,0,0,0,0,0,0,0,0
"Mir328","ENSMUSG00000070130","8","MGP_CASTEiJ_G0008883","8",0,0,0,0,0,0,0,0,0,0
"Mir329","ENSMUSG00000065577","12","MGP_CASTEiJ_G0007795","12",0,0,0,0,0,0,0,0,0,0
"Mir33","ENSMUSG00000065465","15","MGP_CASTEiJ_G0007990","15",0,0,0,0,0,0,0,0,0,0
"Mir330","ENSMUSG00000065543","7","MGP_CASTEiJ_G0008724","7",0,0,0,0,0,0,0,0,0,0
"Mir331","ENSMUSG00000065607","10","MGP_CASTEiJ_G0007560","10",0,0,0,0,0,0,0,0,0,0
"Mir335","ENSMUSG00000065501","6","MGP_CASTEiJ_G0008646","6",0,0,0,0,0,0,0,0,0,0
"Mir337","ENSMUSG00000065526","12","MGP_CASTEiJ_G0007768","12",0,0,0,0,0,0,0,0,0,0
"Mir338","ENSMUSG00000065600","11","MGP_CASTEiJ_G0007712","11",0,0,0,0,0,0,0,0,0,0
"Mir339","ENSMUSG00000065593","5","MGP_CASTEiJ_G0008623","5",0,0,0,0,0,0,1,0,0,0
"Mir340","ENSMUSG00000065417","11","MGP_CASTEiJ_G0007615","11",0,0,0,0,0,0,0,0,0,0
"Mir341","ENSMUSG00000070101","12","MGP_CASTEiJ_G0007781","12",0,0,0,0,0,0,0,0,0,0
"Mir342","ENSMUSG00000065436","12","MGP_CASTEiJ_G0007761","12",0,0,0,0,0,0,0,0,0,0
"Mir343","ENSMUSG00000076315","7","MGP_CASTEiJ_G0008725","7",1,3,0,1,0,1,1,1,1,2
"Mir344","ENSMUSG00000065568","7","MGP_CASTEiJ_G0008770","7",0,0,0,0,0,0,0,0,0,0
"Mir344-2","ENSMUSG00000093187","7","MGP_CASTEiJ_G0008771","7",0,0,0,0,0,0,0,0,0,0
"Mir344b","ENSMUSG00000092921","7","MGP_CASTEiJ_G0008768","7",0,0,0,0,0,0,0,0,0,0
"Mir344c","ENSMUSG00000077107","7","MGP_CASTEiJ_G0008769","7",0,0,0,0,0,0,0,0,0,0
"Mir344d-1","ENSMUSG00000092847","7","MGP_CASTEiJ_G0008758","7",0,0,0,0,0,0,0,0,0,0
"Mir344e","ENSMUSG00000077869","7","MGP_CASTEiJ_G0008764","7",0,0,0,0,0,0,0,0,0,0
"Mir344f","ENSMUSG00000093108","7","MGP_CASTEiJ_G0008773","7",0,0,0,0,0,0,0,0,0,0
"Mir344g","ENSMUSG00000092850","7","MGP_CASTEiJ_G0008772","7",0,0,0,0,0,0,0,0,0,0
"Mir345","ENSMUSG00000065429","12","MGP_CASTEiJ_G0007763","12",0,0,0,0,0,2,1,1,0,0
"Mir346","ENSMUSG00000065481","14","MGP_CASTEiJ_G0007906","14",0,0,0,0,0,0,0,0,0,0
"Mir3471-2","ENSMUSG00000094253","4","MGP_CASTEiJ_G0008465","4",0,0,0,0,0,0,0,0,0,0
"Mir3473b","ENSMUSG00000093298","10","MGP_CASTEiJ_G0007520","10",0,0,0,0,0,0,0,0,0,0
"Mir3473c","ENSMUSG00000093003","1","MGP_CASTEiJ_G0007508","1",0,0,0,0,0,0,0,0,0,0
"Mir3473d","ENSMUSG00000093087","8","MGP_CASTEiJ_G0008891","8",0,0,0,0,0,0,0,0,0,0
"Mir3473e","ENSMUSG00000099301","5","MGP_CASTEiJ_G0008560","5",0,0,0,0,0,0,0,0,0,0
"Mir3473f","ENSMUSG00000098344","1","MGP_CASTEiJ_G0007469","1",0,0,0,0,0,0,0,0,0,0
"Mir3473g","ENSMUSG00000098896","2","MGP_CASTEiJ_G0008359","2",0,0,0,0,0,0,0,0,0,0
"Mir3474","ENSMUSG00000093120","2","MGP_CASTEiJ_G0008379","2",0,1,0,0,1,0,0,1,0,0
"Mir3475","ENSMUSG00000093102","X","MGP_CASTEiJ_G0009079","X",0,0,0,0,0,0,0,0,0,0
"Mir34a","ENSMUSG00000065493","4","MGP_CASTEiJ_G0008542","4",0,0,0,0,0,0,0,0,0,0
"Mir34b","ENSMUSG00000065492","9","MGP_CASTEiJ_G0008941","9",0,0,0,0,0,0,0,0,0,0
"Mir34c","ENSMUSG00000065587","9","MGP_CASTEiJ_G0008940","9",0,0,0,0,0,0,0,0,0,0
"Mir350","ENSMUSG00000065573","1","MGP_CASTEiJ_G0007499","1",0,0,0,0,0,0,0,0,0,0
"Mir351","ENSMUSG00000065503","X","MGP_CASTEiJ_G0009017","X",0,0,1,0,0,0,0,0,0,0
"Mir3535","ENSMUSG00000104627","1","MGP_CASTEiJ_G0007458","1",0,0,0,0,0,0,0,0,0,0
"Mir3544","ENSMUSG00000105210","12","MGP_CASTEiJ_G0007769","12",0,0,0,0,0,0,0,0,0,0
"Mir3547","ENSMUSG00000093202","17","MGP_CASTEiJ_G0008096","17",0,0,0,0,0,0,0,0,0,0
"Mir3569","ENSMUSG00000098553","7","MGP_CASTEiJ_G0008742","7",0,0,0,0,0,0,0,0,0,0
"Mir3572","ENSMUSG00000093290","7","MGP_CASTEiJ_G0008717","7",0,0,0,0,0,0,0,0,0,0
"Mir361","ENSMUSG00000065510","X","MGP_CASTEiJ_G0009072","X",0,0,0,0,0,0,0,0,0,0
"Mir362","ENSMUSG00000070100","X","MGP_CASTEiJ_G0008989","X",0,0,0,0,0,0,0,0,0,0
"Mir3620","ENSMUSG00000099172","X","MGP_CASTEiJ_G0009090","X",0,0,0,0,0,0,0,0,0,0
"Mir363","ENSMUSG00000070106","X","MGP_CASTEiJ_G0008602","5",0,0,0,0,0,0,0,0,0,0
"Mir365-1","ENSMUSG00000065449","16","MGP_CASTEiJ_G0008031","16",0,0,0,0,0,0,0,0,0,0
"Mir365-2","ENSMUSG00000065489","11","MGP_CASTEiJ_G0007664","11",0,0,0,0,0,0,0,0,0,0
"Mir367","ENSMUSG00000065413","3","MGP_CASTEiJ_G0008454","3",0,0,0,0,0,0,0,0,0,0
"Mir369","ENSMUSG00000065561","12","MGP_CASTEiJ_G0007827","12",0,0,0,0,0,0,0,0,0,0
"Mir370","ENSMUSG00000065433","12","MGP_CASTEiJ_G0007784","12",0,0,0,0,0,0,0,0,0,0
