"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","rpm_mouse_1_female_mat_bl6","rpm_mouse_2_female_mat_bl6","rpm_mouse_4_female_mat_bl6","rpm_mouse_7_male_mat_bl6","rpm_mouse_8_male_mat_bl6","rpm_mouse_1_female_pat_cast","rpm_mouse_2_female_pat_cast","rpm_mouse_4_female_pat_cast","rpm_mouse_7_male_pat_cast","rpm_mouse_8_male_pat_cast"
"Cfp","ENSMUSG00000001128","X","MGP_CASTEiJ_G0034579","X",4.8394264084083,8.00672564954562,4.80451624527055,5.55098113591577,4.90172050389687,0,1.52122951854607,1.64432684218869,1.89524416904441,1.47644363705944
"Chic1","ENSMUSG00000031327","X","MGP_CASTEiJ_G0034946","X",5.40877069175046,0.774844417697963,1.60150541509018,1.85032704530526,1.22543012597422,0,0,0.657730736875476,0,0.295288727411889
"Chm","ENSMUSG00000025531","X","MGP_CASTEiJ_G0035000","X",16.2263120752514,16.5300142442232,20.8195703961724,14.2739514923548,14.2149894613009,2.40703431708826,2.73821313338293,1.97319221062643,0.631748056348136,1.18115490964756
"Chrdl1","ENSMUSG00000031283","X","MGP_CASTEiJ_G0035121","X",0.284672141671077,0,0,0.264332435043608,0.245086025194843,0,0,0,0,0
"Chst7","ENSMUSG00000037347","X","MGP_CASTEiJ_G0034566","X",1.13868856668431,1.29140736282994,0.800752707545092,0.264332435043608,0,0,0,0.328865368437738,0,0
"Cited1","ENSMUSG00000051159","X","MGP_CASTEiJ_G0034936","X",0,0.516562945131975,0.400376353772546,0.528664870087217,1.22543012597422,0,0,0,0.315874028174068,0.590577454823778
"Clcn5","ENSMUSG00000004317","X","MGP_CASTEiJ_G0034491","X",51.5256576424649,55.5305166016874,41.6391407923448,62.6467871053352,53.183667467281,13.0667577213363,13.9953115706238,17.1009991587624,8.84447278887391,15.0597250980063
"Cldn2","ENSMUSG00000047230","X","MGP_CASTEiJ_G0035096","X",1.42336070835538,0.774844417697963,0.400376353772546,1.05732974017443,3.43120435272781,0,0,0.328865368437738,0.315874028174068,0
"Cldn34a","ENSMUSG00000091863","X","MGP_CASTEiJ_G0035153","X",0,0,0,0,0,0,0,0,0,0
"Cldn34b4","ENSMUSG00000073085","X","MGP_CASTEiJ_G0034835","X",0,0,0,0,0,0,0,0,0,0
"Cldn34c4","ENSMUSG00000043569","X","MGP_CASTEiJ_G0035016","X",0,0,0,0,0,0,0,0,0,0
"Cldn34d","ENSMUSG00000079525","X","MGP_CASTEiJ_G0034836","X",0,0,0,0,0,0,0,0,0,0
"Cmc4","ENSMUSG00000090110","X","MGP_CASTEiJ_G0034823","X",1.13868856668431,1.54968883539593,0.400376353772546,0,0.245086025194843,0,0,0,0,0
"Cnga2","ENSMUSG00000005864","X","MGP_CASTEiJ_G0034755","X",0.85401642501323,0.516562945131975,1.60150541509018,1.32166217521804,0.73525807558453,0.687724090596645,0,0,0,0
"Cnksr2","ENSMUSG00000025658","X","MGP_CASTEiJ_G0035179","X",0,0,0,0,0,0,0,0,0,0
"Col4a5","ENSMUSG00000031274","X","MGP_CASTEiJ_G0035111","X",113.58418452676,137.922306350237,98.8929593818189,69.7837628515126,66.9084848781923,13.0667577213363,23.4269345856095,14.1412108428227,8.21272473252577,8.56337309494477
