name,chr,Samp1_B6,Samp2_B6,Samp3_B6,Samp4_B6,Samp5_B6,Samp1_Cas,Samp2_Cas,Samp3_Cas,Samp4_Cas,Samp5_Cas
4944,Cylc1,X,0,0,0,0,0,0,0,0,0,0
5016,Cypt1,X,0,0,0,0,0,0,0,0,0,0
5018,Cypt14,X,0,0,0,0,0,0,0,0,0,0
5019,Cypt15,X,0,0,0,0,0,0,0,0,0,0
5020,Cypt2,X,0,0,0,0,0,0,0,0,0,0
5021,Cypt3,X,0,0,0,0,0,0,0,0,0,0
5024,Cysltr1,X,0,0,0,0,0,0,0,0,0,0
5110,Dach2,X,0,0,0,0,0,0,0,0,0,0
5155,Dcaf12l1,X,0.284652531770781,0,0,0,0,1.03159393986701,0.304250161785024,0,0,0
5156,Dcaf12l2,X,0,0,0,0,0,0,0,0,0,0
5202,Dcx,X,0,0,0,0.264319229964074,0.490144781416259,0,0,0,0,0
5240,Ddx3x,X,1044.67479159877,1001.03590170323,1128.16661315415,1171.72714643074,1212.37311683312,112.787604092127,127.17656762614,152.594584799672,31.2721214722915,35.4353378907115
5341,Dgat2l6,X,0,0,0,0,0.245072390708129,0,0,0,0,0
5352,Dgkk,X,0,0,0.400343013894305,0,0,0,0,0,0,0
5395,Diaph2,X,8.25492342135264,9.55581227116089,14.8126915140893,21.9384960870181,20.831153210191,32.3232767824998,28.5995152077922,36.5043080016457,12.003440565122,9.74471791994567
5414,Dkc1,X,12.5247113979144,15.2376465945539,19.6168076808209,19.5596230173415,15.9297053960284,1.37545858648935,2.12975113249516,0.328867639654465,0.631760029743262,1.47647241211298
5428,Dlg3,X,38.1434392572846,41.8389618358936,40.0343013894305,32.5112652855811,30.6340488385162,52.6112909332177,48.9842760473888,58.2095722188404,48.6455222902312,50.4953564942639
5465,Dmrtc1a,X,0,0,0,0,0,0,0,0,0,0
5536,Dnase1l1,X,34.1583038124937,39.256309870715,32.4277841254387,26.6962422263714,30.388976447808,2.7509171729787,2.73825145606521,2.30207347758126,2.52704011897305,1.77176689453558
5567,Dock11,X,0,0,0,0,0,0,0,0,0,0
5647,Drp2,X,1.4232626588539,0,0,0.264319229964074,1.47043434424878,0,0,0,0,0.295294482422596
5701,Dusp21,X,0,0,0,0,0,0,0,0,0,0
5713,Dusp9,X,2.27722025416625,1.54959117910717,0.400343013894305,1.85023460974852,1.71550673495691,0.687729293244676,0,1.31547055861786,1.26352005948652,0.885883447267788
5733,Dynlt3,X,211.212178573919,208.420013589915,202.973908044412,229.429091608816,237.720218986885,15.4739090980052,12.778506794971,11.1814997482518,8.52876040153404,8.56353999025528
5795,Ebp,X,46.3983626786373,66.3741555050905,33.6288131671216,52.5995267628507,59.3075185513673,5.84569899257974,10.9530058242608,6.24848515343484,6.31760029743262,7.97295102541009
5815,Eda,X,2.84652531770781,4.13224314428579,4.00343013894305,3.17183075956889,3.18594107920568,0.687729293244676,2.73825145606521,0.328867639654465,0,2.06706137695817
5816,Eda2r,X,0,0.516530393035724,0,0,0,0.343864646622338,0,0,0,0
5861,Efhc2,X,0,0,0,0,0.245072390708129,0,0,0,0,0
5871,Efnb1,X,129.801554487476,142.045858084824,119.302218140503,103.084499685989,87.245771092094,11.0036686919148,7.30200388284057,7.89282335170717,10.7399205056355,6.49647861329711
5880,Egfl6,X,1470.79963165962,1443.96071373137,1717.87187262046,1774.37499074883,1802.26236126758,200.816953627445,212.366612925946,227.905274280544,213.534890053223,269.60386245183
5908,Eif1ax,X,108.452614604667,122.159437952949,106.491241695885,89.3398997278569,92.6373636876729,23.7266606169413,11.5615061478309,17.7588525413411,14.8463606989667,21.8517916992721
5920,Eif2c5,X,0,0,0,0,0.245072390708129,0,0,0,0,0
5924,Eif2s3x,X,14.232626588539,16.787237773661,26.0222959031298,17.4450691776289,12.4986919261146,42.9830808277922,43.2035229734733,34.8599698033733,15.1622407138383,17.7176689453558
5968,Elf4,X,12.5247113979144,13.9463206119645,9.60823233346331,5.28638459928147,9.80289562832517,5.84569899257974,5.78075307391545,2.30207347758126,1.26352005948652,1.77176689453558
5972,Elk1,X,13.3786689932267,13.171525022411,16.4140635696665,11.6300461184192,12.9888367075309,3.78251111284572,5.1722527503454,5.91961751378038,3.79056017845957,5.02000620118413
6008,Emd,X,19.0717196286423,20.9194809179468,25.6219528892355,15.3305153379163,14.7043434424878,6.18956363920208,5.47650291213042,4.93301459481698,4.42232020820284,5.02000620118413
6048,Enox2,X,15.3712367156222,18.5950941492861,11.6099474029348,14.8018768779881,12.2536195354065,2.06318787973403,0.912750485355071,1.97320583792679,0.947640044614893,3.83882827149375
6124,Eras,X,0,0.258265196517862,0.400343013894305,0.792957689892221,1.47043434424878,0,0,0,0.315880014871631,0.295294482422596
6137,Ercc6l,X,1.13861012708312,1.03306078607145,0.400343013894305,0.792957689892221,1.96057912566503,0,0,0.328867639654465,0.631760029743262,0.885883447267788
6194,Esx1,X,0,0,0.400343013894305,0.528638459928147,0.490144781416259,0,0,0,0,0.295294482422596
6200,Etd,X,0,0,0,0,0,0,0,0,0,0
6284,F630028O10Rik,X,0,0,0,0,0.490144781416259,0,0,0,0,0
6292,F8,X,0.284652531770781,0.774795589553586,2.40205808336583,2.90751152960481,1.22536195354065,1.03159393986701,0,0,0,0.295294482422596
6295,F8a,X,5.97770316718639,9.03928187812517,8.4072032917804,5.81502305920962,6.12680976770323,1.03159393986701,0.912750485355071,0.986602918963396,0,0.295294482422596
6296,F9,X,0,0,0,0,0,0,0,0,0,0
6342,Fam120c,X,8.8242284848942,9.81407746767876,9.60823233346331,7.66525766895814,4.90144781416259,1.37545858648935,0.304250161785024,2.30207347758126,3.15880014871631,1.18117792969038
