gene_id	gene_name	chromosome	count
MGP_CASTEiJ_G0009081	Gm44351	X	0
MGP_CASTEiJ_G0035120	Rgag1	X	0
MGP_CASTEiJ_G0013765		X	0
MGP_CASTEiJ_G0013766		X	0
MGP_CASTEiJ_G0014288		X	0
MGP_CASTEiJ_G0035121	Chrdl1	X	0
MGP_CASTEiJ_G0038378	Gm23325	X	0
MGP_CASTEiJ_G0035122	Pak3	X	2
MGP_CASTEiJ_G0013767		X	0
MGP_CASTEiJ_G0035123	Capn6	X	0
MGP_CASTEiJ_G0009082		X	0
MGP_CASTEiJ_G0035124	Dcx	X	0
MGP_CASTEiJ_G0014289		X	0
MGP_CASTEiJ_G0007389		X	0
MGP_CASTEiJ_G0014290		X	2
MGP_CASTEiJ_G0014291		X	0
MGP_CASTEiJ_G0014292		X	0
MGP_CASTEiJ_G0014293		X	3
MGP_CASTEiJ_G0035125	Alg13	X	1
MGP_CASTEiJ_G0014294		X	0
MGP_CASTEiJ_G0014295		X	0
MGP_CASTEiJ_G0035126	Trpc5	X	0
MGP_CASTEiJ_G0004612		X	0
MGP_CASTEiJ_G0014296		X	0
MGP_CASTEiJ_G0014297		X	0
MGP_CASTEiJ_G0014298		X	0
MGP_CASTEiJ_G0035127	Zcchc16	X	0
MGP_CASTEiJ_G0009638	Gm26024	X	0
MGP_CASTEiJ_G0014299		X	0
MGP_CASTEiJ_G0037140	Gm25097	X	0
MGP_CASTEiJ_G0014300		X	0
MGP_CASTEiJ_G0014301		X	0
MGP_CASTEiJ_G0035128	Lhfpl1	X	0
MGP_CASTEiJ_G0039376		X	0
MGP_CASTEiJ_G0035129	Amot	X	3
MGP_CASTEiJ_G0014302		X	1
MGP_CASTEiJ_G0014303		X	0
MGP_CASTEiJ_G0037141	Gm27659	X	0
MGP_CASTEiJ_G0014304		X	0
MGP_CASTEiJ_G0014305		X	0
MGP_CASTEiJ_G0014306		X	0
MGP_CASTEiJ_G0014307		X	0
MGP_CASTEiJ_G0014308		X	0
MGP_CASTEiJ_G0014309		X	0
MGP_CASTEiJ_G0037142	Gm26151	X	0
MGP_CASTEiJ_G0014310		X	0
MGP_CASTEiJ_G0014311		X	0
MGP_CASTEiJ_G0014312		X	0
MGP_CASTEiJ_G0014313		X	0
MGP_CASTEiJ_G0014314		X	0
MGP_CASTEiJ_G0035130	Htr2c	X	0
MGP_CASTEiJ_G0038379	Snora35	X	0
MGP_CASTEiJ_G0009083	Gm22650	X	0
MGP_CASTEiJ_G0009084	Mir764	X	0
MGP_CASTEiJ_G0009085	Mir1912	X	0
MGP_CASTEiJ_G0009086	Mir1264	X	0
MGP_CASTEiJ_G0009087	Mir1298	X	0
MGP_CASTEiJ_G0009088	Gm24627	X	0
MGP_CASTEiJ_G0009089	Mir448	X	0
MGP_CASTEiJ_G0035131	Il13ra2	X	0
MGP_CASTEiJ_G0035132	Lrch2	X	0
MGP_CASTEiJ_G0038380	Gm25107	X	0
MGP_CASTEiJ_G0039377		X	0
MGP_CASTEiJ_G0034563	Dusp21	X	0
MGP_CASTEiJ_G0034564		X	16
MGP_CASTEiJ_G0038522		X	3
MGP_CASTEiJ_G0007390		X	0
MGP_CASTEiJ_G0014315		X	0
MGP_CASTEiJ_G0035133	Tmem29	X	3
MGP_CASTEiJ_G0014316		X	16
MGP_CASTEiJ_G0035134	Alas2	X	0
MGP_CASTEiJ_G0009090	Mir3620	X	0
MGP_CASTEiJ_G0035135		X	2
MGP_CASTEiJ_G0035136	Pfkfb1	X	1
MGP_CASTEiJ_G0035137		X	0
MGP_CASTEiJ_G0014317		X	0
MGP_CASTEiJ_G0035138	Maged2	X	25
MGP_CASTEiJ_G0038381	Gm24907	X	0
MGP_CASTEiJ_G0038593		X	0
MGP_CASTEiJ_G0007391	Gm27191	X	0
MGP_CASTEiJ_G0014318		X	0
MGP_CASTEiJ_G0035139	Gnl3l	X	31
MGP_CASTEiJ_G0014319		X	0
MGP_CASTEiJ_G0035140	Fgd1	X	3
MGP_CASTEiJ_G0035141	Tsr2	X	10
MGP_CASTEiJ_G0014320		X	0
MGP_CASTEiJ_G0014321		X	0
MGP_CASTEiJ_G0007392	Gm15138	X	0
MGP_CASTEiJ_G0035142	Wnk3	X	0
MGP_CASTEiJ_G0037143	Gm26441	X	0
MGP_CASTEiJ_G0004613	A230072E10Rik	X	4
MGP_CASTEiJ_G0035143	Fam120c	X	10
MGP_CASTEiJ_G0037144	Gm22248	X	0
MGP_CASTEiJ_G0014322		X	63
MGP_CASTEiJ_G0035144	Phf8	X	16
MGP_CASTEiJ_G0035619	n-R5s5	X	0
MGP_CASTEiJ_G0038382	Gm24460	X	0
MGP_CASTEiJ_G0013768		X	0
MGP_CASTEiJ_G0014323		X	4
MGP_CASTEiJ_G0035630	n-R5s13	X	0
MGP_CASTEiJ_G0014324		X	0
MGP_CASTEiJ_G0035145	Huwe1	X	94
MGP_CASTEiJ_G0009091	Mir3113	X	0
MGP_CASTEiJ_G0009092	Mirlet7f-2	X	0
MGP_CASTEiJ_G0009093	Mir98	X	0
MGP_CASTEiJ_G0035631	n-R5s14	X	0
MGP_CASTEiJ_G0035146	Hsd17b10	X	37
MGP_CASTEiJ_G0035147	Ribc1	X	0
MGP_CASTEiJ_G0035148	Smc1a	X	31
MGP_CASTEiJ_G0035149	Iqsec2	X	16
MGP_CASTEiJ_G0035150	Kdm5c	X	52
MGP_CASTEiJ_G0034565	4930578C19Rik	X	0
MGP_CASTEiJ_G0002326		X	3
MGP_CASTEiJ_G0007393	Kantr	X	0
MGP_CASTEiJ_G0035632	n-R5s15	X	0
MGP_CASTEiJ_G0035151	Tspyl2	X	48
MGP_CASTEiJ_G0035152	Gpr173	X	0
MGP_CASTEiJ_G0015112	3010001F23Rik	X	0
MGP_CASTEiJ_G0038523		X	56
MGP_CASTEiJ_G0014325		X	2
MGP_CASTEiJ_G0035153	Cldn34a	X	0
MGP_CASTEiJ_G0014326		X	0
MGP_CASTEiJ_G0035154	Shroom2	X	23
MGP_CASTEiJ_G0035155	Gpr143	X	0
MGP_CASTEiJ_G0035658	Gm24687	X	0
MGP_CASTEiJ_G0035156	Usp51	X	0
MGP_CASTEiJ_G0035157	Mageh1	X	37
MGP_CASTEiJ_G0015113	9530051G07Rik	X	0
MGP_CASTEiJ_G0039378		X	0
MGP_CASTEiJ_G0035158	Foxr2	X	0
MGP_CASTEiJ_G0035159	Rragb	X	2
MGP_CASTEiJ_G0014327		X	0
MGP_CASTEiJ_G0035160	Klf8	X	10
MGP_CASTEiJ_G0014328		X	2
MGP_CASTEiJ_G0035161	Ubqln2	X	23
MGP_CASTEiJ_G0014329		X	0
MGP_CASTEiJ_G0037145	Gm25793	X	0
MGP_CASTEiJ_G0014330		X	0
MGP_CASTEiJ_G0035162	Kctd12b	X	2
MGP_CASTEiJ_G0035163	2210013O21Rik	X	67
MGP_CASTEiJ_G0014331		X	0
MGP_CASTEiJ_G0035164	Spin2c	X	1
MGP_CASTEiJ_G0037146	Gm25895	X	0
MGP_CASTEiJ_G0039379		X	0
MGP_CASTEiJ_G0035165	4930524N10Rik	X	0
MGP_CASTEiJ_G0039380		X	0
MGP_CASTEiJ_G0014332		X	0
MGP_CASTEiJ_G0035166	Samt4	X	0
MGP_CASTEiJ_G0035167		X	0
MGP_CASTEiJ_G0037147	Gm22359	X	0
MGP_CASTEiJ_G0014333		X	0
MGP_CASTEiJ_G0014335		X	0
MGP_CASTEiJ_G0014334		X	0
MGP_CASTEiJ_G0014336		X	0
MGP_CASTEiJ_G0038383	Gm25429	X	0
MGP_CASTEiJ_G0014337		X	7
MGP_CASTEiJ_G0014338		X	0
MGP_CASTEiJ_G0014339		X	0
MGP_CASTEiJ_G0035168	Sat1	X	72
MGP_CASTEiJ_G0035169	Acot9	X	9
MGP_CASTEiJ_G0014340		X	0
MGP_CASTEiJ_G0035170	Prdx4	X	9
MGP_CASTEiJ_G0014341		X	0
MGP_CASTEiJ_G0035633	n-R5s16	X	0
MGP_CASTEiJ_G0035171	Ptchd1	X	0
MGP_CASTEiJ_G0004614	Gm15156	X	0
MGP_CASTEiJ_G0035172		X	0
MGP_CASTEiJ_G0014342		X	0
MGP_CASTEiJ_G0034488	Dgkk	X	0
MGP_CASTEiJ_G0038384	Gm23404	X	0
MGP_CASTEiJ_G0014343		X	0
MGP_CASTEiJ_G0014344		X	0
MGP_CASTEiJ_G0014345		X	0
MGP_CASTEiJ_G0013769		X	0
MGP_CASTEiJ_G0037148	Gm22666	X	0
MGP_CASTEiJ_G0013770		X	0
MGP_CASTEiJ_G0035173	Phex	X	0
MGP_CASTEiJ_G0038385	Gm25795	X	0
MGP_CASTEiJ_G0014346		X	0
MGP_CASTEiJ_G0038386	Gm24281	X	0
MGP_CASTEiJ_G0035174	Sms	X	77
MGP_CASTEiJ_G0014347		X	0
MGP_CASTEiJ_G0035175	Mbtps2	X	24
MGP_CASTEiJ_G0014348		X	475
MGP_CASTEiJ_G0035176	Yy2	X	0
MGP_CASTEiJ_G0014349		X	0
MGP_CASTEiJ_G0014350		X	0
MGP_CASTEiJ_G0014351		X	0
MGP_CASTEiJ_G0035634	Gm23381	X	0
MGP_CASTEiJ_G0014352		X	0
MGP_CASTEiJ_G0014353		X	0
